ano,semana,distrito,ubigeo,total_casos,temp_min_semana,population,temp_min_lag1,temp_min_lag2,temp_min_lag3,temp_min_lag4,temp_min_lag5,temp_min_lag6,temp_min_lag7
2017,4,CAHUAPANAS,160702.0,0,20.39600777731577,6336,20.03305170991772,20.88783148567923,20.64960700175174,,,,
2017,4,CAPELO,160503.0,0,22.293470924537843,2566,22.90458039521458,22.77231612105272,22.432811638542866,,,,
2017,4,CONTAMANA,160601.0,0,20.301011813538548,23883,20.849689656175887,20.871765356993805,20.47456698776553,,,,
2017,4,EMILIO SAN MARTIN,160504.0,0,21.473290274799755,6089,22.56435623642823,22.184278623213707,22.01062619069104,,,,
2017,4,FERNANDO LORES,160103.0,0,22.173376414973195,13875,22.123974545025888,22.263342273895173,22.260247254158003,,,,
2017,4,INAHUAYA,160602.0,0,20.600538836917075,1738,22.0753898230102,22.1669772947354,21.650907271977538,,,,
2017,4,INDIANA,160104.0,0,22.243374027896483,10134,22.66571188657441,22.24207864391688,22.6668274830686,,,,
2017,4,IQUITOS,160101.0,3,22.339919388561245,146853,22.324903292649683,22.283758701731585,22.316423265861765,,,,
2017,4,JEBEROS,160205.0,0,21.2692839135008,3900,21.942577579247704,22.19867455563276,22.09679395662582,,,,
2017,4,JENARO HERRERA,160510.0,0,22.36964720159512,4608,22.74518856873599,22.670167487664283,22.66917900443327,,,,
2017,4,LAGUNAS,160206.0,0,21.304051613637423,12033,21.77118154724636,22.3019377313253,22.36788500198731,,,,
2017,4,LAS AMAZONAS,160105.0,0,21.96463523920597,8032,22.73932029687985,22.44504486495734,22.59967756582092,,,,
2017,4,MANSERICHE,160703.0,0,20.768009174972853,8421,20.57872549362237,20.613608886389077,20.931021608588367,,,,
2017,4,MAQUIA,160505.0,0,21.210220867263747,7304,22.41350382457017,22.071231510572492,21.95762463187144,,,,
2017,4,MAZAN,160106.0,0,22.00790325933008,12181,22.650517972176115,22.339852762469448,22.40755947784581,,,,
2017,4,MORONA,160704.0,0,21.76341134396792,4191,21.89180100494608,21.55930644310816,21.86027306234591,,,,
2017,4,NAPO,160107.0,1,21.614279985803886,15003,22.585120712269585,22.018131438517383,22.37453408977684,,,,
2017,4,NAUTA,160301.0,0,22.25545143386814,29963,22.707997886402723,22.464239956747928,22.558715194561877,,,,
2017,4,PADRE MARQUEZ,160603.0,2,20.984095306126548,3697,22.49283082638461,21.92299267765301,22.04411290481657,,,,
2017,4,PAMPA HERMOSA,160604.0,0,19.362185585169293,5388,19.78941979074594,19.857855273739748,19.52753772345344,,,,
2017,4,PARINARI,160302.0,0,21.78932057297791,6085,22.407253360106445,22.377130657061272,22.352927029187896,,,,
2017,4,PASTAZA,160705.0,0,21.45088466518887,5078,21.972495311494544,22.526145199299183,22.14762646567732,,,,
2017,4,PEBAS,160402.0,0,21.78024829538105,11079,22.671123556422742,22.089702924603003,22.34474205436665,,,,
2017,4,PUINAHUA,160506.0,0,21.317879420032927,4372,22.36125665832133,22.10449522386729,22.301910980101045,,,,
2017,4,PUNCHANA,160108.0,10,21.98621672064096,75210,22.47459170649216,22.48872156163342,22.24924085014293,,,,
2017,4,PUTUMAYO,160801.0,0,21.60508575233137,3666,22.6537786533264,21.968518373618583,22.639759157861043,,,,
2017,4,RAMON CASTILLA,160401.0,0,21.801687461225765,19178,22.531633373054103,22.454269990364786,22.561358448492346,,,,
2017,4,REQUENA,160501.0,0,22.18470873558283,25313,22.669983733752822,22.578576724761465,22.45997341635163,,,,
2017,4,ROSA PANDURO,160802.0,0,21.819127892789236,520,22.31275043763865,21.67212285697963,22.29236498744605,,,,
2017,4,SAN JUAN BAUTISTA,160113.0,0,22.11065623202637,127005,22.078027552585915,22.354088100158563,22.38451035502874,,,,
2017,4,SAN PABLO,160404.0,0,22.064353739565306,10449,22.70052166102681,22.31002000760786,22.650838498314087,,,,
2017,4,SANTA CRUZ,160210.0,0,20.55419613456121,3967,21.495316706301708,22.064159673028016,22.135189430163877,,,,
2017,4,SAQUENA,160507.0,0,22.043782027597885,3365,22.481090681023684,22.388082924257343,22.19718874426535,,,,
2017,4,SARAYACU,160605.0,0,20.71789776418409,13464,21.84710429302412,22.077713571038164,21.960693800369636,,,,
2017,4,SOPLIN,160508.0,0,21.62610784584301,569,21.91202123461479,22.058633674172818,21.73552838181597,,,,
2017,4,TAPICHE,160509.0,0,21.82656471645856,881,22.17117735790725,22.293846518163544,22.07957674662273,,,,
2017,4,TENIENTE CESAR LOPEZ ROJAS,160211.0,0,20.748324229642044,5564,21.88904648851045,21.802410986080204,22.0737595761216,,,,
2017,4,TENIENTE MANUEL CLAVERO,160803.0,0,21.12223330266991,2317,22.30540375045221,21.653389447299823,21.75536816477902,,,,
2017,4,TIGRE,160303.0,0,21.52659772277955,6448,22.147311459630245,21.92751099072889,22.14005300104887,,,,
2017,4,TORRES CAUSANA,160110.0,0,21.330345770385648,4230,22.40627815147446,21.73312334692545,22.149040360108977,,,,
2017,4,TROMPETEROS,160304.0,0,20.891010066072955,8396,21.610997576005577,21.746668743248904,21.810631549330903,,,,
2017,4,URARINAS,160305.0,1,21.392570425988897,11545,22.11909755156235,22.19946182382377,22.27497749307641,,,,
2017,4,VARGAS GUERRA,160606.0,0,20.629884929700346,6467,22.18209879161796,22.01552377656025,21.580244467758668,,,,
2017,4,YAQUERANA,160511.0,0,21.86278179269825,1929,22.318022760919195,22.23870936939091,22.133346509661564,,,,
2017,4,YAVARI,160403.0,0,22.003186663709503,8366,22.48013367935211,22.19568927335854,22.339399909300557,,,,
2017,4,YURIMAGUAS,160201.0,5,20.783306868340684,83554,21.44736381670376,21.502630795908978,21.76542293355593,,,,
2017,5,ALTO NANAY,160102.0,0,21.9952735315401,2855,22.02095833453626,22.393342936870084,22.137861916290017,22.09838829684601,,,
2017,5,ALTO TAPICHE,160502.0,0,21.32069701518812,1515,20.99106215627487,22.01536789130128,21.63057011007628,20.76927030783625,,,
2017,5,ANDOAS,160706.0,0,21.224803848482,11714,21.35598913058744,21.574767184432115,21.978283561663755,21.73222719098302,,,
2017,5,BALSAPUERTO,160202.0,0,18.67619786529886,13707,19.17103052845145,19.56190087667686,19.404611487176265,20.01802467118852,,,
2017,5,BARRANCA,160701.0,0,19.387946183193407,12742,19.73486685865136,19.512874126639595,20.23033878289348,20.25169471756149,,,
2017,5,BELEN,160112.0,5,22.350867635451262,64488,22.44485078209624,22.56753649866337,22.499559662405392,22.61204463092277,,,
2017,5,CAHUAPANAS,160702.0,0,19.5722559431909,6336,20.39600777731577,20.03305170991772,20.88783148567923,20.64960700175174,,,
2017,5,CAPELO,160503.0,0,22.113659997888536,2566,22.293470924537843,22.90458039521458,22.77231612105272,22.432811638542866,,,
