"ano","semana","distrito","total_casos","temp_min_semana","population"
2018,3,"PUNCHANA",6,21.7726228510762,86608
2018,3,"REQUENA",1,22.4919540053534,27624
2018,3,"SAN JUAN BAUTISTA",7,21.8395307196946,143054
2018,4,"BELEN",1,22.448125277719,70503
2018,4,"IQUITOS",5,22.306759908925,162450
2018,4,"JENARO HERRERA",8,22.2956660871241,5084
2018,4,"MAZAN",1,21.9793392609808,13898
2018,4,"NAUTA",4,22.2135621385219,32622
2018,4,"SAN JUAN BAUTISTA",8,22.2725146505488,143054
2018,4,"URARINAS",1,22.0649464362544,13324
2018,4,"VARGAS GUERRA",1,22.2569567311746,7631
2018,4,"YURIMAGUAS",3,21.2821334723893,96151
2018,5,"BELEN",2,23.7006777940598,70503
2018,5,"IQUITOS",4,23.288922585549,162450
2018,5,"JENARO HERRERA",9,23.3397926238723,5084
2018,5,"NAPO",1,22.9741521255906,17106
2018,5,"NAUTA",5,23.2082559971228,32622
2018,5,"PUNCHANA",9,23.2247564811488,86608
2018,5,"REQUENA",2,23.3076632323377,27624
2018,5,"SAN JUAN BAUTISTA",7,23.0495853028776,143054
2018,5,"YURIMAGUAS",2,22.9864250092768,96151
2018,6,"BELEN",7,24.1948238204011,70503
2018,6,"INDIANA",1,23.6218543104722,11768
2018,6,"IQUITOS",4,23.8066941091666,162450
2018,6,"JENARO HERRERA",8,23.6484601341872,5084
2018,6,"NAPO",1,22.9475948574801,17106
2018,6,"PARINARI",2,23.4621364111829,6416
2018,6,"PUNCHANA",6,23.4412635128483,86608
2018,6,"RAMON CASTILLA",1,23.7263405859513,22883
2018,6,"REQUENA",1,23.6029982288224,27624
2018,6,"SAN JUAN BAUTISTA",10,23.6946464934445,143054
2018,6,"YURIMAGUAS",4,23.0856107483896,96151
2018,7,"BELEN",2,22.2187176662209,70503
2018,7,"FERNANDO LORES",1,21.8489941087722,14935
2018,7,"INDIANA",1,21.7176135373686,11768
2018,7,"IQUITOS",5,22.2893993674217,162450
2018,7,"NAUTA",3,22.3914674095669,32622
2018,7,"PUNCHANA",3,22.1990602336116,86608
2018,7,"SAN JUAN BAUTISTA",16,22.1926035185258,143054
2018,7,"YURIMAGUAS",6,22.3093884750383,96151
2018,8,"BELEN",2,22.3355664458599,70503
2018,8,"FERNANDO LORES",1,22.579016452723,14935
2018,8,"IQUITOS",3,22.1839081011585,162450
2018,8,"JENARO HERRERA",3,21.7006925716693,5084
2018,8,"NAUTA",12,22.2677039348088,32622
2018,8,"PARINARI",1,22.5362728767377,6416
2018,8,"PUNCHANA",3,22.306697610797,86608
2018,8,"SAN JUAN BAUTISTA",14,22.17120153502,143054
2018,9,"BELEN",4,22.7393892856474,70503
2018,9,"IQUITOS",5,22.2481333495129,162450
2018,9,"NAUTA",7,22.3155648465932,32622
2018,9,"PUNCHANA",4,22.2986189824089,86608
2018,9,"SAN JUAN BAUTISTA",9,21.8724261996011,143054
2018,9,"YURIMAGUAS",3,21.5461176745987,96151
2018,10,"BELEN",4,23.0024714129513,70503
2018,10,"IQUITOS",4,22.7329293232191,162450
2018,10,"NAUTA",15,22.9340486193849,32622
2018,10,"PUNCHANA",5,22.6705295451055,86608
2018,10,"SAN JUAN BAUTISTA",13,22.7676088018442,143054
2018,11,"BARRANCA",1,20.8670854899248,15214
2018,11,"BELEN",6,23.6213958830257,70503
2018,11,"IQUITOS",5,23.3554948125746,162450
2018,11,"JENARO HERRERA",1,23.4498749121337,5084
2018,11,"NAUTA",4,23.2276382490877,32622
2018,11,"PEBAS",1,22.8121369870342,12808
2018,11,"PUNCHANA",3,23.0952292265289,86608
2018,11,"SAN JUAN BAUTISTA",12,23.173756956484,143054
2018,11,"YURIMAGUAS",2,22.3844289987028,96151
2018,12,"BELEN",6,23.4752630903306,70503
2018,12,"FERNANDO LORES",2,23.1098796822363,14935
2018,12,"IQUITOS",7,23.2714784725225,162450
2018,12,"NAUTA",2,23.1364071933892,32622
2018,12,"PUNCHANA",6,23.1828001078184,86608
2018,12,"REQUENA",1,23.5128994462407,27624
2018,12,"SAN JUAN BAUTISTA",7,23.1143161704261,143054
2018,12,"YURIMAGUAS",2,22.2486683823963,96151
2018,13,"BELEN",4,22.8895573528819,70503
2018,13,"IQUITOS",15,22.5729446592067,162450
2018,13,"NAUTA",1,22.2467633190622,32622
2018,13,"PUNCHANA",6,22.3797242961116,86608
2018,13,"SAN JUAN BAUTISTA",5,22.3067454890715,143054
2018,13,"YURIMAGUAS",2,20.7883459117877,96151
2018,14,"BELEN",7,22.6829090917357,70503
2018,14,"IQUITOS",7,22.7283416547009,162450
2018,14,"PEBAS",1,22.6481071054554,12808
2018,14,"PUNCHANA",5,22.457107220623,86608
2018,14,"SAN JUAN BAUTISTA",13,22.5595421320479,143054
2018,15,"BELEN",4,22.8554251071626,70503
